Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
UV Response Dn	3/144	0.00658304951837142	0.0677146160833708	0	0	8.42808510638298	42.3364390947977	SFMBT1;ERBB2;LAMC1	MSigDB_Hallmark_2020
TGF-beta Signaling	2/54	0.00902861547778277	0.0677146160833708	0	0	15.0037707390649	70.6280939325196	CDH1;SMAD6	MSigDB_Hallmark_2020
Apical Junction	3/200	0.0159972388139272	0.0799861940696358	0	0	6.01522842639594	24.8750095823907	LIMA1;CLDN4;CDH1	MSigDB_Hallmark_2020
