Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
TGF-beta signaling pathway	3/94	0.000812807683860215	0.0430788072445914	0	0	18.1959706959707	129.464623139873	SMAD9;SMAD6;BMP5	KEGG_2021_Human
Bladder cancer	2/41	0.00289573335241115	0.0767369338388955	0	0	27.6119196119196	161.378330347808	CDH1;ERBB2	KEGG_2021_Human
UV Response Dn	3/144	0.00276323942607411	0.0230302462466636	0	0	11.7139479905437	69.0109860303244	SFMBT1;ERBB2;LAMC1	MSigDB_Hallmark_2020
TGF-beta Signaling	2/54	0.00497341243719256	0.0230302462466636	0	0	20.6954261954262	109.761277840805	CDH1;SMAD6	MSigDB_Hallmark_2020
Apical Junction	3/200	0.00690907387399907	0.0230302462466636	0	0	8.36040609137056	41.5923487725279	LIMA1;CLDN4;CDH1	MSigDB_Hallmark_2020
