Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Regulation of Blood Vessel Endothelial Cell Migration (GO:0043535)	1/57	0.0500964899328298	0.0819077610401767	0	0	20.9306722689076	62.6623373640501	PDGFB	GO_Biological_Process_2025
Peptidyl-Tyrosine Phosphorylation (GO:0018108)	1/58	0.0509538444953197	0.0821440972486938	0	0	20.562435500516	61.2109790386997	PDGFB	GO_Biological_Process_2025
Regulation of Mitotic Nuclear Division (GO:0007088)	1/58	0.0509538444953197	0.0821440972486938	0	0	20.562435500516	61.2109790386997	PDGFB	GO_Biological_Process_2025
Positive Regulation of Multicellular Organismal Process (GO:0051240)	2/407	0.0509946536436845	0.0821440972486938	0	0	6.04228395061728	17.982045388697	SMAD3;PDGFB	GO_Biological_Process_2025
Response to Interleukin-1 (GO:0070555)	1/59	0.0518104682069731	0.0830491328611774	0	0	20.2068965517241	59.815708753827	ZC3H12A	GO_Biological_Process_2025
Regulation of SMAD Protein Signal Transduction (GO:0060390)	1/60	0.0526663616642542	0.0840092695815176	0	0	19.8634097706879	58.4734751599336	SMAD3	GO_Biological_Process_2025
Negative Regulation of Canonical NF-kappaB Signal Transduction (GO:0043124)	1/61	0.05352152544267	0.084958926309481	0	0	19.5313725490196	57.1814400581829	ZC3H12A	GO_Biological_Process_2025
Positive Regulation of Neurogenesis (GO:0050769)	1/64	0.0560826445470321	0.0881683883023053	0	0	18.5985060690943	53.5809732719597	NUMBL	GO_Biological_Process_2025
Retinoid Metabolic Process (GO:0001523)	1/64	0.0560826445470321	0.0881683883023053	0	0	18.5985060690943	53.5809732719597	BCO2	GO_Biological_Process_2025
Cellular Response to Virus (GO:0098586)	1/65	0.0569348954637786	0.0886557657935981	0	0	18.3069852941177	52.4650161158786	ZC3H12A	GO_Biological_Process_2025
Negative Regulation of NF-kappaB Transcription Factor Activity (GO:0032088)	1/65	0.0569348954637786	0.0886557657935981	0	0	18.3069852941177	52.4650161158786	ZC3H12A	GO_Biological_Process_2025
Cell-Cell Junction Organization (GO:0045216)	1/66	0.0577864196143045	0.0887143625064675	0	0	18.0244343891403	51.3876892219774	SMAD3	GO_Biological_Process_2025
Positive Regulation of MAP Kinase Activity (GO:0043406)	1/66	0.0577864196143045	0.0887143625064675	0	0	18.0244343891403	51.3876892219774	PDGFB	GO_Biological_Process_2025
Regulation of Neurogenesis (GO:0050767)	1/66	0.0577864196143045	0.0887143625064675	0	0	18.0244343891403	51.3876892219774	NUMBL	GO_Biological_Process_2025
Extrinsic Apoptotic Signaling Pathway (GO:0097191)	1/68	0.0594872899827325	0.0908988029175398	0	0	17.4846356453029	49.3415124569292	SMAD3	GO_Biological_Process_2025
Cell Junction Organization (GO:0034330)	1/69	0.0603366373648497	0.0917678158990969	0	0	17.2266435986159	48.3692416453001	SMAD3	GO_Biological_Process_2025
Positive Regulation of Endothelial Cell Proliferation (GO:0001938)	1/70	0.0611852603166934	0.0926276857572164	0	0	16.9761295822677	47.4287420286634	PDGFB	GO_Biological_Process_2025
Regulation of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	1/72	0.0628803352568931	0.0942925783248583	0	0	16.4962717481359	45.6372953964449	RAMP3	GO_Biological_Process_2025
Regulation of MAP Kinase Activity (GO:0043405)	1/73	0.063726788409155	0.0942925783248583	0	0	16.266339869281	44.7836779156911	PDGFB	GO_Biological_Process_2025
Positive Regulation of Cell-Substrate Adhesion (GO:0010811)	1/73	0.063726788409155	0.0942925783248583	0	0	16.266339869281	44.7836779156911	PDGFB	GO_Biological_Process_2025
Embryonic Organ Development (GO:0048568)	1/73	0.063726788409155	0.0942925783248583	0	0	16.266339869281	44.7836779156911	PDGFB	GO_Biological_Process_2025
Negative Regulation of Cellular Response to Growth Factor Stimulus (GO:0090288)	1/73	0.063726788409155	0.0942925783248583	0	0	16.266339869281	44.7836779156911	CHRDL2	GO_Biological_Process_2025
Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902)	1/75	0.0654175289767129	0.0963005081752701	0	0	15.8251192368839	43.1545467429311	PDGFB	GO_Biological_Process_2025
Protein Deubiquitination (GO:0016579)	1/76	0.0662618175517914	0.0963005081752701	0	0	15.6133333333333	42.3767952020673	ZC3H12A	GO_Biological_Process_2025
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	1/76	0.0662618175517914	0.0963005081752701	0	0	15.6133333333333	42.3767952020673	SMAD3	GO_Biological_Process_2025
Positive Regulation of Protein Localization to Membrane (GO:1905477)	1/76	0.0662618175517914	0.0963005081752701	0	0	15.6133333333333	42.3767952020673	RAMP3	GO_Biological_Process_2025
Regulation of BMP Signaling Pathway (GO:0030510)	1/77	0.0671053857579431	0.0966672297041736	0	0	15.4071207430341	41.6221976161114	CHRDL2	GO_Biological_Process_2025
Regulation of Non-Canonical NF-kappaB Signal Transduction (GO:1901222)	1/77	0.0671053857579431	0.0966672297041736	0	0	15.4071207430341	41.6221976161114	ZC3H12A	GO_Biological_Process_2025
Cell Chemotaxis (GO:0060326)	1/78	0.0679482341709108	0.0974520726924905	0	0	15.2062643239114	40.8897835379323	PDGFB	GO_Biological_Process_2025
RNA Catabolic Process (GO:0006401)	1/79	0.0687903633714564	0.0982290341592412	0	0	15.0105580693816	40.1786348626712	ZC3H12A	GO_Biological_Process_2025
Response to Tumor Necrosis Factor (GO:0034612)	1/80	0.0696317739420862	0.098998217735053	0	0	14.8198064035741	39.4878823877236	ZC3H12A	GO_Biological_Process_2025
Protein Modification by Small Protein Removal (GO:0070646)	1/81	0.0704724664502651	0.0993297264191236	0	0	14.6338235294118	38.816702641322	ZC3H12A	GO_Biological_Process_2025
Wound Healing (GO:0042060)	1/81	0.0704724664502651	0.0993297264191236	0	0	14.6338235294118	38.816702641322	SMAD3	GO_Biological_Process_2025
DEAD/H-box RNA Helicase Binding (GO:0017151)	1/6	0.00538846593898824	0.0850376157422325	0	0	235.023529411765	1227.6441242999	SMAD3	GO_Molecular_Function_2025
Nuclear Glucocorticoid Receptor Binding (GO:0035259)	1/7	0.0062838777740326	0.0850376157422325	0	0	195.843137254902	992.879272061154	SMAD3	GO_Molecular_Function_2025
Superoxide-Generating NADPH Oxidase Activator Activity (GO:0016176)	1/8	0.0071785287204102	0.0850376157422325	0	0	167.857142857143	828.65378226444	PDGFB	GO_Molecular_Function_2025
co-SMAD Binding (GO:0070410)	1/9	0.00807241931005015	0.0850376157422325	0	0	146.867647058824	707.79955270199	SMAD3	GO_Molecular_Function_2025
Platelet-Derived Growth Factor Binding (GO:0048407)	1/10	0.00896555009334736	0.0850376157422325	0	0	130.542483660131	615.425022203049	PDGFB	GO_Molecular_Function_2025
RNA Stem-Loop Binding (GO:0035613)	1/12	0.0107495345067082	0.0850376157422325	0	0	106.79679144385	484.098409887525	ZC3H12A	GO_Molecular_Function_2025
Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	1/12	0.0107495345067082	0.0850376157422325	0	0	106.79679144385	484.098409887525	PDGFB	GO_Molecular_Function_2025
RNA Exonuclease Activity (GO:0004532)	1/14	0.0125304865571367	0.0850376157422325	0	0	90.3574660633484	395.728716189981	ZC3H12A	GO_Molecular_Function_2025
I-SMAD Binding (GO:0070411)	1/15	0.0134198269051201	0.0850376157422325	0	0	83.8991596638656	361.691126934933	SMAD3	GO_Molecular_Function_2025
BMP Binding (GO:0036122)	1/18	0.0160833123117468	0.0850376157422325	0	0	69.083044982699	285.311113776863	CHRDL2	GO_Molecular_Function_2025
Transforming Growth Factor Beta Receptor Binding (GO:0005160)	1/20	0.0178551954764704	0.0850376157422325	0	0	61.8049535603715	248.793414712821	SMAD3	GO_Molecular_Function_2025
R-SMAD Binding (GO:0070412)	1/21	0.0187400067082949	0.0850376157422325	0	0	58.7117647058824	233.502244963605	SMAD3	GO_Molecular_Function_2025
Oxidoreductase, Single Donors W Incorp of O2, Incorp of Two Atoms of O (GO:0016702)	1/22	0.0196240651712844	0.0850376157422325	0	0	55.9131652661064	219.79457723602	BCO2	GO_Molecular_Function_2025
mRNA 5'-UTR Binding (GO:0048027)	1/22	0.0196240651712844	0.0850376157422325	0	0	55.9131652661064	219.79457723602	GNL3	GO_Molecular_Function_2025
bHLH Transcription Factor Binding (GO:0043425)	1/22	0.0196240651712844	0.0850376157422325	0	0	55.9131652661064	219.79457723602	SMAD3	GO_Molecular_Function_2025
Protein Homodimerization Activity (GO:0042803)	3/680	0.0218168825829307	0.0851566142435008	0	0	5.70310192023634	21.8147707831094	SMAD3;PDGFB;TKT	GO_Molecular_Function_2025
mRNA 3'-UTR AU-rich Region Binding (GO:0035925)	1/25	0.0222717298790695	0.0851566142435008	0	0	48.9166666666667	186.100382608801	ZC3H12A	GO_Molecular_Function_2025
miRNA Binding (GO:0035198)	1/30	0.0266695046006179	0.0963065443911203	0	0	40.47261663286	146.682254158328	ZC3H12A	GO_Molecular_Function_2025
mRNA Binding (GO:0003729)	2/310	0.0311130293525238	0.0988067364653278	0	0	7.98457792207792	27.7075121846944	ZC3H12A;GNL3	GO_Molecular_Function_2025
Chemoattractant Activity (GO:0042056)	1/36	0.0319221763964905	0.0988067364653278	0	0	33.5243697478992	115.473160400466	PDGFB	GO_Molecular_Function_2025
Transcription Coactivator Binding (GO:0001223)	1/36	0.0319221763964905	0.0988067364653278	0	0	33.5243697478992	115.473160400466	SMAD3	GO_Molecular_Function_2025
